"lat","lon","cor_gen_div","fish_sp_div"
32.5,-65.5,16,539
32.5,-64.5,16,527
30.5,48.5,42,242
30.5,129.5,61,1040
30.5,130.5,60,934
30.5,131.5,56,819
29.5,32.5,61,346
29.5,33.5,61,378
29.5,34.5,61,476
29.5,35.5,0,502
29.5,47.5,42,394
29.5,48.5,42,409
29.5,50.5,42,423
29.5,129.5,70,1209
28.5,-178.5,12,44
28.5,-177.5,12,174
28.5,32.5,61,427
28.5,33.5,61,499
28.5,34.5,61,625
28.5,35.5,61,639
28.5,48.5,42,548
28.5,50.5,42,553
28.5,129.5,69,1230
28.5,130.5,69,1164
27.5,-176.5,12,210
27.5,-175.5,0,258
27.5,-93.5,16,876
27.5,-78.5,25,1018
27.5,-77.5,25,969
27.5,33.5,61,599
27.5,34.5,61,722
27.5,35.5,61,758
27.5,49.5,42,663
27.5,50.5,42,675
27.5,51.5,42,695
27.5,52.5,42,691
27.5,120.5,2,867
27.5,121.5,1,907
27.5,127.5,71,1437
27.5,128.5,70,1374
27.5,129.5,69,1294
26.5,-174.5,12,246
26.5,-173.5,12,259
26.5,-80.5,27,1214
26.5,-79.5,27,1182
26.5,-78.5,25,1152
26.5,-77.5,25,1119
26.5,-76.5,25,1028
26.5,33.5,61,663
26.5,34.5,61,745
26.5,35.5,61,803
26.5,36.5,61,818
26.5,50.5,42,776
26.5,51.5,42,783
26.5,53.5,42,806
26.5,54.5,42,809
26.5,55.5,42,812
26.5,56.5,43,807
26.5,126.5,71,1477
26.5,127.5,71,1470
26.5,128.5,70,1435
25.5,-174.5,12,241
25.5,-173.5,12,254
25.5,-172.5,12,254
25.5,-171.5,12,280
25.5,-170.5,12,297
25.5,-169.5,0,316
25.5,-80.5,27,1318
25.5,-79.5,26,1280
25.5,-78.5,25,1274
25.5,-77.5,25,1250
25.5,-76.5,25,1225
25.5,34.5,61,762
25.5,36.5,61,861
25.5,37.5,61,864
25.5,50.5,42,855
25.5,51.5,42,854
25.5,52.5,42,866
25.5,54.5,42,876
25.5,55.5,42,893
25.5,56.5,43,898
25.5,59.5,43,886
25.5,60.5,43,883
25.5,121.5,69,1618
25.5,122.5,71,1610
25.5,123.5,71,1576
25.5,124.5,72,1573
25.5,125.5,72,1523
25.5,131.5,0,1291
24.5,-167.5,12,332
24.5,-166.5,12,349
24.5,-83.5,26,1329
24.5,-82.5,26,1347
24.5,-81.5,26,1359
24.5,-80.5,26,1372
24.5,-79.5,26,1356
24.5,-78.5,25,1354
24.5,-77.5,25,1332
24.5,-76.5,25,1313
24.5,-75.5,25,1288
24.5,-74.5,25,1239
24.5,34.5,61,782
24.5,35.5,61,825
24.5,36.5,61,875
24.5,37.5,61,894
24.5,38.5,60,884
24.5,51.5,42,909
24.5,52.5,42,920
24.5,53.5,42,923
24.5,54.5,42,926
24.5,118.5,24,1427
24.5,119.5,37,1555
24.5,121.5,70,1821
24.5,122.5,72,1782
24.5,123.5,71,1705
24.5,124.5,72,1652
24.5,125.5,72,1604
24.5,131.5,0,1336
24.5,153.5,0,85
23.5,-166.5,12,336
23.5,-164.5,12,366
23.5,-162.5,12,413
23.5,-161.5,12,456
23.5,-109.5,7,542
23.5,-88.5,25,1233
23.5,-83.5,26,1331
23.5,-82.5,26,1357
23.5,-81.5,26,1367
23.5,-80.5,26,1384
23.5,-79.5,25,1390
23.5,-78.5,25,1387
23.5,-77.5,25,1382
23.5,-76.5,25,1377
23.5,-75.5,25,1353
23.5,-74.5,25,1305
23.5,-73.5,25,1279
23.5,35.5,62,836
23.5,36.5,62,881
23.5,37.5,61,912
23.5,38.5,60,915
23.5,57.5,44,998
23.5,58.5,44,1003
23.5,119.5,43,1760
23.5,121.5,71,1908
22.5,-162.5,12,387
22.5,-161.5,12,408
22.5,-160.5,12,450
22.5,-159.5,12,497
22.5,-109.5,7,573
22.5,-91.5,25,1179
22.5,-89.5,25,1246
22.5,-88.5,25,1261
22.5,-84.5,26,1345
22.5,-83.5,26,1357
22.5,-81.5,26,1396
22.5,-80.5,26,1405
22.5,-79.5,25,1408
22.5,-78.5,25,1411
22.5,-77.5,25,1416
22.5,-76.5,25,1409
22.5,-75.5,25,1398
22.5,-74.5,25,1386
22.5,-73.5,25,1365
22.5,-72.5,25,1330
22.5,35.5,61,856
22.5,36.5,61,884
22.5,37.5,61,925
22.5,38.5,60,942
22.5,39.5,60,952
22.5,59.5,43,1033
22.5,68.5,36,1026
22.5,69.5,36,1032
22.5,70.5,36,1022
22.5,114.5,31,1534
22.5,120.5,74,2029
22.5,121.5,72,2016
21.5,-160.5,12,447
21.5,-159.5,12,478
21.5,-158.5,12,560
21.5,-157.5,12,705
21.5,-156.5,12,715
21.5,-97.5,16,680
21.5,-92.5,25,1195
21.5,-91.5,25,1215
